"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"2b0cbe83-48a2-41b0-b03f-42180cfc4b77","Bijan","Robinson","1.4","294.9",,"RB","ATL",,
"ae8f738f-a91d-4ee1-b13c-d0228fdb5016","Jahmyr","Gibbs","1.7","277.9",,"RB","DET",,
"19818cc6-e21b-4258-9315-93cb64fb92e7","Ja'Marr","Chase","3.2","250.6",,"WR","CIN",,
"e442b551-f8b9-42d2-bf92-677aee7e9a79","Puka","Nacua","4.2","278.0",,"WR","LAR",,
"c2f61e40-f9fa-4050-b955-9b236bcceeed","Jaxon","Smith-Njigba","5.1","235.1",,"WR","SEA",,
"8b9ad544-0e96-4b38-9b59-c293e3aadf39","Jonathan","Taylor","6.5","256.3",,"RB","IND",,
"cb7b1dc6-91ce-47b8-813c-07486371a922","Christian","McCaffrey","7.1","260.0",,"RB","SF",,
"4de8084d-aa1a-43c7-9676-0def5b39e980","CeeDee","Lamb","8.7","222.5",,"WR","DAL",,
"b4d7a866-815f-40c1-8f76-7608b4ab1c01","Amon-Ra","St. Brown","8.9","227.5",,"WR","DET",,
"d61fb310-35c9-4f90-a99c-fb4605a870f4","Justin","Jefferson","9.8","203.6",,"WR","MIN",,
"7b434d3b-e0f9-40f1-bedd-51f973c59c5f","James","Cook","11.2","247.3",,"RB","BUF",,
"6691d6ae-d453-45d2-9604-4120271a1259","Ashton","Jeanty","11.8","238.5",,"RB","LV",,
"33072d1d-45b2-4b52-89ac-67e56923a3cd","De'Von","Achane","14.1","237.0",,"RB","MIA",,
"aa48a0ad-1d71-4d09-a86a-1e6e1987d911","Saquon","Barkley","14.6","226.0",,"RB","PHI",,
"4ccbad89-b2df-4502-9944-eedc4ec9060a","Kenneth","Walker III","15.3","212.0",,"RB","KC",,
"2961fcb5-8f79-44ce-a1eb-e195cfa18349","Omarion","Hampton","17.0","221.9",,"RB","LAC",,
"1ed35e23-07ed-46d1-beb8-5072f8f4f14b","Jeremiyah","Love","17.1","0.0",,"RB","ARI",,
"9e383307-302a-4285-93aa-69bb32de103d","Malik","Nabers","18.3","200.4",,"WR","NYG",,
"a4388eb5-9783-46f2-b262-43fbe0201ea3","Trey","McBride","19.6","191.4",,"TE","ARI",,
"fc7cba00-d4a8-4ad1-83af-a6932d777354","Drake","London","20.2","195.7",,"WR","ATL",,
"e9fdd9a9-7652-4f39-b790-071e2839f862","Derrick","Henry","20.5","238.2",,"RB","BAL",,
"e8312b02-cf05-4abd-808d-33a115a6b29c","Chase","Brown","22.3","209.8",,"RB","CIN",,
"87b71b64-5182-4dbf-a04d-10b3a68ec2a6","Rashee","Rice","23.6","199.3",,"WR","KC",,
"6f3725e1-d57e-4516-8d71-cf7e3328267d","Brock","Bowers","23.8","188.0",,"TE","LV",,
"54411227-af25-42c9-9ac5-f740fa220777","George","Pickens","25.5","195.9",,"WR","DAL",,
"4817d915-eef0-4ff3-8a53-3652bd6ea36a","Nico","Collins","26.0","196.0",,"WR","HOU",,
"3dc1b1fc-0c07-4f33-ad1b-a0d2fb83edf3","Josh","Jacobs","27.2","201.3",,"RB","GB",,
"dd48e78f-5a11-4056-b21e-94789a31ee6e","A.J.","Brown","28.2","193.8",,"WR","PHI",,
"99398db6-2ffb-42e9-bdb0-4312a399ab08","Josh","Allen","29.1","363.5",,"QB","BUF",,
"463ed573-6658-435f-82a4-170352fb6887","Chris","Olave","29.4","187.8",,"WR","NO",,
"a6d5129f-7469-4d59-b74e-3f8b59b977b8","Travis","Etienne Jr.","31.4","195.9",,"RB","NO",,
